Protocol,Bytes,Time,Size
tcp,945152,1.000356 ,64 
tcp,1252928,1.000437 ,64 
tcp,1280320,1.000028 ,64 
tcp,1191296,1.000565 ,64 
tcp,1284800,1.000169 ,64 
tcp,1264896,1.000042 ,64 
tcp,1240000,1.000234 ,64 
tcp,1242624,1.000380 ,64 
tcp,1098944,1.000414 ,64 
tcp,1260160,1.000245 ,64 
tcp,2096128,1.000020 ,128 
tcp,2030592,1.000029 ,128 
tcp,2097152,1.036858 ,128 
tcp,2097152,1.043048 ,128 
tcp,2097152,1.040339 ,128 
tcp,2096512,1.000173 ,128 
tcp,2066944,1.000314 ,128 
tcp,2097152,1.043979 ,128 
tcp,2097152,1.237655 ,128 
tcp,1234816,1.000370 ,128 
tcp,2620416,1.000039 ,192 
tcp,2670144,1.000203 ,192 
tcp,2749824,1.000113 ,192 
tcp,2769024,1.000512 ,192 
tcp,2638464,1.000054 ,192 
tcp,2530176,1.000046 ,192 
tcp,2655552,1.000003 ,192 
tcp,2658240,1.000058 ,192 
tcp,2789952,1.000227 ,192 
tcp,2670528,1.000056 ,192 
tcp,3372544,1.000292 ,256 
tcp,3500032,1.000159 ,256 
tcp,3550464,1.000004 ,256 
tcp,3359232,1.000466 ,256 
tcp,3270656,1.000128 ,256 
tcp,3500544,1.000134 ,256 
tcp,3502080,1.000281 ,256 
tcp,3512064,1.000302 ,256 
tcp,3471872,1.000434 ,256 
tcp,3419136,1.000316 ,256 
tcp,4194240,1.077372 ,320 
tcp,4194240,1.074937 ,320 
tcp,3986240,1.000380 ,320 
tcp,3856960,1.000247 ,320 
tcp,3947520,1.000052 ,320 
tcp,4194240,1.075719 ,320 
tcp,3416960,1.000276 ,320 
tcp,4194240,1.075955 ,320 
tcp,3910400,1.000082 ,320 
tcp,3845440,1.000377 ,320 
tcp,4194432,1.002991 ,384 
tcp,4224000,1.000206 ,384 
tcp,4194432,1.049179 ,384 
tcp,4219392,1.000430 ,384 
tcp,4194432,1.014608 ,384 
tcp,4194432,1.028580 ,384 
tcp,4194432,1.029281 ,384 
tcp,4194432,1.029630 ,384 
tcp,4194432,1.019104 ,384 
tcp,4194432,1.043070 ,384 
tcp,4194624,1.086715 ,448 
tcp,4194624,1.054631 ,448 
tcp,4194624,1.071844 ,448 
tcp,4194624,1.038685 ,448 
tcp,4194624,1.092690 ,448 
tcp,4242112,1.000180 ,448 
tcp,4194624,1.040342 ,448 
tcp,4194624,1.036786 ,448 
tcp,4194624,1.120518 ,448 
tcp,4236288,1.000075 ,448 
tcp,4304896,1.000303 ,512 
tcp,4194304,1.006845 ,512 
tcp,4194304,1.016145 ,512 
tcp,4478464,1.000477 ,512 
tcp,4194304,1.041691 ,512 
tcp,4194304,1.042875 ,512 
tcp,4194304,1.203203 ,512 
tcp,2400256,1.000058 ,512 
tcp,3524096,1.000437 ,512 
tcp,4194304,1.024035 ,512 
tcp,4194432,1.058531 ,576 
tcp,4194432,1.038921 ,576 
tcp,4328064,1.000272 ,576 
tcp,4194432,1.028126 ,576 
tcp,4194432,1.046279 ,576 
tcp,4194432,1.069053 ,576 
tcp,4194432,1.013145 ,576 
tcp,4271040,1.000206 ,576 
tcp,4194432,1.066644 ,576 
tcp,4194432,1.058963 ,576 
tcp,4194560,1.041174 ,640 
tcp,4194560,1.052353 ,640 
tcp,4194560,1.031438 ,640 
tcp,4194560,1.021063 ,640 
tcp,4194560,1.107854 ,640 
tcp,4194560,1.013101 ,640 
tcp,4194560,1.047980 ,640 
tcp,4194560,1.048601 ,640 
tcp,4194560,1.060432 ,640 
tcp,4194560,1.050869 ,640 
tcp,4194432,1.084299 ,704 
tcp,4194432,1.019857 ,704 
tcp,4194432,1.033868 ,704 
tcp,4194432,1.002337 ,704 
tcp,4194432,1.025181 ,704 
tcp,4268352,1.000004 ,704 
tcp,4194432,1.027345 ,704 
tcp,4194432,1.054658 ,704 
tcp,4244416,1.000332 ,704 
tcp,4194432,1.030686 ,704 
tcp,4194816,1.021949 ,768 
tcp,4194816,1.014763 ,768 
tcp,4274688,1.000446 ,768 
tcp,4194816,1.047520 ,768 
tcp,4194816,1.060920 ,768 
tcp,4194816,1.040977 ,768 
tcp,4194816,1.008091 ,768 
tcp,4194816,1.037353 ,768 
tcp,4194816,1.021753 ,768 
tcp,4194816,1.014398 ,768 
tcp,4321408,1.000481 ,832 
tcp,4263168,1.000039 ,832 
tcp,4317248,1.000005 ,832 
tcp,4194944,1.022483 ,832 
tcp,4194944,1.025912 ,832 
tcp,4194944,1.007755 ,832 
tcp,4194944,1.057555 ,832 
tcp,4194944,1.042997 ,832 
tcp,4194944,1.001179 ,832 
tcp,4194944,1.065589 ,832 
tcp,4195072,1.043482 ,896 
tcp,4195072,1.039612 ,896 
tcp,4195072,1.073943 ,896 
tcp,4195072,1.056717 ,896 
tcp,4195072,1.126783 ,896 
tcp,2097536,1.120239 ,896 
tcp,2567936,1.000007 ,896 
tcp,4100992,1.000123 ,896 
tcp,4195072,1.212505 ,896 
tcp,4195072,1.137776 ,896 
tcp,4194240,1.030707 ,960 
tcp,4270080,1.000139 ,960 
tcp,4194240,1.078464 ,960 
tcp,4194240,1.012649 ,960 
tcp,4194240,1.018193 ,960 
tcp,4194240,1.038880 ,960 
tcp,4194240,1.013801 ,960 
tcp,4194240,1.006357 ,960 
tcp,4194240,1.008141 ,960 
tcp,4194240,1.003470 ,960 
tcp,4194304,1.044678 ,1024 
tcp,4306944,1.000147 ,1024 
tcp,4194304,1.002941 ,1024 
tcp,4194304,1.027596 ,1024 
tcp,4194304,1.019695 ,1024 
tcp,4194304,1.039902 ,1024 
tcp,4274176,1.000349 ,1024 
tcp,4298752,1.000115 ,1024 
tcp,4194304,1.023931 ,1024 
tcp,2299904,1.000186 ,1024 
quic,7608128,1.000373 ,64 
quic,11354368,1.000107 ,64 
quic,9230720,1.009067 ,64 
quic,6929856,1.000387 ,64 
quic,6549760,1.000054 ,64 
quic,6538432,1.000036 ,64 
quic,6707072,1.004105 ,64 
quic,6569792,1.001328 ,64 
quic,6824768,1.003550 ,64 
quic,7106880,1.000959 ,64 
quic,6381184,1.000218 ,128 
quic,6685952,1.000068 ,128 
quic,7276160,1.002732 ,128 
quic,6701056,1.001746 ,128 
quic,7263616,1.005281 ,128 
quic,7073664,1.000420 ,128 
quic,7336576,1.000084 ,128 
quic,6893312,1.001406 ,128 
quic,7259392,1.000570 ,128 
quic,7203584,1.000029 ,128 
quic,7365120,1.001288 ,192 
quic,7492608,1.000144 ,192 
quic,7257408,1.000139 ,192 
quic,7527744,1.000206 ,192 
quic,7860288,1.001491 ,192 
quic,7785984,1.001102 ,192 
quic,7861248,1.000486 ,192 
quic,7837824,1.000020 ,192 
quic,7535424,1.000299 ,192 
quic,7534656,1.001421 ,192 
quic,7932928,1.000398 ,256 
quic,7965696,1.000766 ,256 
quic,7978240,1.000441 ,256 
quic,7922432,1.000070 ,256 
quic,8066048,1.001766 ,256 
quic,8235008,1.001071 ,256 
quic,8400896,1.000262 ,256 
quic,8026112,1.002188 ,256 
quic,8189952,1.001062 ,256 
quic,8299776,1.001642 ,256 
quic,8011520,1.000787 ,320 
quic,8518720,1.000477 ,320 
quic,8464960,1.000321 ,320 
quic,8604160,1.000352 ,320 
quic,8605760,1.001246 ,320 
quic,8672640,1.001987 ,320 
quic,8911040,1.001016 ,320 
quic,8701440,1.000445 ,320 
quic,8806400,1.000005 ,320 
quic,8816640,1.003165 ,320 
quic,9100416,1.000244 ,384 
quic,9015936,1.000283 ,384 
quic,9267840,1.000843 ,384 
quic,9112320,1.001255 ,384 
quic,9250944,1.000046 ,384 
quic,8448000,1.000058 ,384 
quic,8739072,1.002906 ,384 
quic,8639616,1.000299 ,384 
quic,8619264,1.002622 ,384 
quic,8522112,1.000092 ,384 
quic,9046016,1.000563 ,448 
quic,8353408,1.001734 ,448 
quic,9303616,1.000210 ,448 
quic,9136960,1.000456 ,448 
quic,9453248,1.000319 ,448 
quic,8769152,1.006192 ,448 
quic,9369920,1.000060 ,448 
quic,9278528,1.002515 ,448 
quic,9522688,1.000160 ,448 
quic,9442048,1.000252 ,448 
quic,7240704,1.000193 ,512 
quic,9805312,1.000387 ,512 
quic,9925632,1.000147 ,512 
quic,9684480,1.000015 ,512 
quic,9825792,1.000490 ,512 
quic,9378816,1.000061 ,512 
quic,9861120,1.000073 ,512 
quic,9353728,1.001111 ,512 
quic,9632256,1.002549 ,512 
quic,10156544,1.000266 ,512 
quic,9894528,1.003327 ,576 
quic,10026432,1.001159 ,576 
quic,7359552,1.006540 ,576 
quic,7048512,1.000425 ,576 
quic,7504128,1.000134 ,576 
quic,7248384,1.000436 ,576 
quic,7363008,1.000020 ,576 
quic,7421184,1.000383 ,576 
quic,7443072,1.001867 ,576 
quic,6993792,1.000321 ,576 
quic,7480960,1.000097 ,640 
quic,7537920,1.000868 ,640 
quic,7715840,1.000276 ,640 
quic,7656960,1.001823 ,640 
quic,7539840,1.000895 ,640 
quic,7882240,1.001427 ,640 
quic,8133760,1.001676 ,640 
quic,7715200,1.011071 ,640 
quic,7616000,1.001841 ,640 
quic,7897600,1.000043 ,640 
quic,7782016,1.001267 ,704 
quic,7115328,1.000013 ,704 
quic,7873536,1.000460 ,704 
quic,8158656,1.000381 ,704 
quic,7899584,1.000823 ,704 
quic,8388160,1.001323 ,704 
quic,7826368,1.000487 ,704 
quic,7879168,1.000678 ,704 
quic,7870720,1.002008 ,704 
quic,8422656,1.002251 ,704 
quic,8402688,1.000368 ,768 
quic,8338176,1.000501 ,768 
quic,8530944,1.002525 ,768 
quic,8604672,1.000253 ,768 
quic,8683776,1.001042 ,768 
quic,8246784,1.000098 ,768 
quic,8436480,1.000499 ,768 
quic,8767488,1.000197 ,768 
quic,8982528,1.000044 ,768 
quic,9074688,1.000323 ,768 
quic,9111232,1.000493 ,832 
quic,9137024,1.000440 ,832 
quic,9196096,1.005767 ,832 
quic,9179456,1.000396 ,832 
quic,8471424,1.038020 ,832 
quic,4718272,1.001437 ,832 
quic,9331712,1.000137 ,832 
quic,6533696,1.000188 ,832 
quic,4673344,1.000265 ,832 
quic,4502784,1.000658 ,832 
quic,4432512,1.002457 ,896 
quic,4708480,1.000089 ,896 
quic,4924416,1.004368 ,896 
quic,4923520,1.000931 ,896 
quic,4573184,1.000517 ,896 
quic,4831232,1.000260 ,896 
quic,4781056,1.000063 ,896 
quic,4918144,1.000264 ,896 
quic,5220096,1.000383 ,896 
quic,4709376,1.001707 ,896 
quic,4951680,1.000736 ,960 
quic,4981440,1.000405 ,960 
quic,4804800,1.003453 ,960 
quic,5059200,1.000469 ,960 
quic,5254080,1.001320 ,960 
quic,5324160,1.000293 ,960 
quic,4947840,1.000128 ,960 
quic,5238720,1.000039 ,960 
quic,5176320,1.000379 ,960 
quic,5587200,1.000148 ,960 
quic,5281792,1.000757 ,1024 
quic,5342208,1.002587 ,1024 
quic,5301248,1.000968 ,1024 
quic,5130240,1.000506 ,1024 
quic,5548032,1.003504 ,1024 
quic,5082112,1.000310 ,1024 
quic,5277696,1.000063 ,1024 
quic,5476352,1.000000 ,1024 
quic,5226496,1.000296 ,1024 
quic,5331968,1.004215 ,1024 
