Protocol,Bytes,Time,Size
tcp,115456,1.180611 ,64 
tcp,42560,1.000300 ,64 
tcp,77568,1.010727 ,64 
tcp,87808,1.000063 ,64 
tcp,70784,1.000645 ,64 
tcp,86400,1.013064 ,64 
tcp,88256,1.050498 ,64 
tcp,80704,1.015531 ,64 
tcp,80704,1.141657 ,64 
tcp,84480,1.073786 ,64 
tcp,86272,1.014065 ,128 
tcp,113536,1.022794 ,128 
tcp,98816,1.034365 ,128 
tcp,95360,1.140999 ,128 
tcp,104448,1.091933 ,128 
tcp,106880,1.140723 ,128 
tcp,104448,1.004514 ,128 
tcp,106752,1.109760 ,128 
tcp,106752,1.026016 ,128 
tcp,76032,1.052530 ,128 
tcp,92736,1.330131 ,192 
tcp,52224,1.159106 ,192 
tcp,120960,1.078153 ,192 
tcp,118464,1.009745 ,192 
tcp,108672,1.078175 ,192 
tcp,102528,1.034579 ,192 
tcp,108672,1.008871 ,192 
tcp,93888,1.067717 ,192 
tcp,106368,1.023256 ,192 
tcp,103680,1.066410 ,192 
tcp,124160,1.014433 ,256 
tcp,90112,1.093462 ,256 
tcp,102912,1.015508 ,256 
tcp,122880,1.149695 ,256 
tcp,123136,1.045783 ,256 
tcp,121856,1.184960 ,256 
tcp,125696,1.040087 ,256 
tcp,109056,1.016881 ,256 
tcp,110336,1.030139 ,256 
tcp,101632,1.007060 ,256 
tcp,124800,1.043178 ,320 
tcp,111680,1.063292 ,320 
tcp,64960,1.025735 ,320 
tcp,112960,1.015301 ,320 
tcp,107840,1.010124 ,320 
tcp,104000,1.000691 ,320 
tcp,104000,1.068953 ,320 
tcp,126080,1.012924 ,320 
tcp,115520,1.057386 ,320 
tcp,116800,1.010768 ,320 
tcp,110592,1.000272 ,384 
tcp,108288,1.069570 ,384 
tcp,107136,1.009283 ,384 
tcp,108288,1.018367 ,384 
tcp,137088,1.007175 ,384 
tcp,116352,1.015518 ,384 
tcp,125568,1.000965 ,384 
tcp,137472,1.006351 ,384 
tcp,113280,1.015896 ,384 
tcp,124416,1.043367 ,384 
tcp,107968,1.025145 ,448 
tcp,110656,1.024716 ,448 
tcp,133504,1.002952 ,448 
tcp,108416,1.196101 ,448 
tcp,126784,1.028694 ,448 
tcp,117824,1.028909 ,448 
tcp,120064,1.020861 ,448 
tcp,113344,1.011797 ,448 
tcp,120512,1.127864 ,448 
tcp,113344,1.033338 ,448 
tcp,144896,1.002088 ,512 
tcp,99328,1.044496 ,512 
tcp,95744,1.024215 ,512 
tcp,98304,1.056483 ,512 
tcp,106496,1.017983 ,512 
tcp,131072,1.003008 ,512 
tcp,122368,1.011411 ,512 
tcp,105472,1.065672 ,512 
tcp,119808,1.044935 ,512 
tcp,123904,1.070145 ,512 
tcp,112320,1.021256 ,576 
tcp,96768,1.084632 ,576 
tcp,135360,1.039902 ,576 
tcp,122688,1.000263 ,576 
tcp,59328,1.007049 ,576 
tcp,131328,1.007021 ,576 
tcp,101952,1.048269 ,576 
tcp,99072,1.015457 ,576 
tcp,119232,1.110005 ,576 
tcp,123264,1.086802 ,576 
tcp,108160,1.022385 ,640 
tcp,126720,1.025111 ,640 
tcp,106880,1.074193 ,640 
tcp,128000,1.140022 ,640 
tcp,135040,1.009427 ,640 
tcp,125440,1.083681 ,640 
tcp,128640,1.034026 ,640 
tcp,115840,1.085814 ,640 
tcp,129920,1.048671 ,640 
tcp,101760,1.081560 ,640 
tcp,120384,1.018041 ,704 
tcp,109824,1.003965 ,704 
tcp,115456,1.088464 ,704 
tcp,137280,1.000420 ,704 
tcp,116160,1.083605 ,704 
tcp,105600,1.067114 ,704 
tcp,179520,1.079241 ,704 
tcp,125312,1.135838 ,704 
tcp,136576,1.002311 ,704 
tcp,114048,1.081780 ,704 
tcp,116736,1.094012 ,768 
tcp,126720,1.069823 ,768 
tcp,133632,1.077872 ,768 
tcp,85248,1.028889 ,768 
tcp,140544,1.003063 ,768 
tcp,109056,1.011955 ,768 
tcp,102912,1.026698 ,768 
tcp,126720,1.011736 ,768 
tcp,119808,1.019132 ,768 
tcp,119040,1.018540 ,768 
tcp,111488,1.016425 ,832 
tcp,123968,1.000593 ,832 
tcp,115648,1.028792 ,832 
tcp,129792,1.046955 ,832 
tcp,104000,1.015685 ,832 
tcp,128960,1.031739 ,832 
tcp,127296,1.022699 ,832 
tcp,120640,1.024681 ,832 
tcp,142272,1.071189 ,832 
tcp,132288,1.050928 ,832 
tcp,137088,1.029428 ,896 
tcp,127232,1.143741 ,896 
tcp,112896,1.072111 ,896 
tcp,123648,1.018403 ,896 
tcp,131712,1.119886 ,896 
tcp,123648,1.117941 ,896 
tcp,129024,1.020756 ,896 
tcp,132608,1.126705 ,896 
tcp,129920,1.024544 ,896 
tcp,123648,1.082834 ,896 
tcp,125760,1.081680 ,960 
tcp,134400,1.018301 ,960 
tcp,102720,1.132817 ,960 
tcp,114240,1.054396 ,960 
tcp,120960,1.084835 ,960 
tcp,100800,1.031615 ,960 
tcp,127680,1.016581 ,960 
tcp,122880,1.109365 ,960 
tcp,138240,1.005290 ,960 
tcp,108480,1.033558 ,960 
tcp,110592,1.072322 ,1024 
tcp,126976,1.061155 ,1024 
tcp,132096,1.016082 ,1024 
tcp,128000,1.013795 ,1024 
tcp,126976,1.020912 ,1024 
tcp,121856,1.058014 ,1024 
tcp,119808,1.102732 ,1024 
tcp,119808,1.061058 ,1024 
tcp,108544,1.036048 ,1024 
tcp,133120,1.012072 ,1024 
quic,197184,1.020898 ,64 
quic,52096,1.000512 ,64 
quic,56704,1.076342 ,64 
quic,49024,1.064137 ,64 
quic,41472,1.018448 ,64 
quic,51520,1.024635 ,64 
quic,51200,1.030701 ,64 
quic,54592,1.018572 ,64 
quic,43392,1.011729 ,64 
quic,48960,1.051192 ,64 
quic,30592,1.029581 ,128 
quic,36480,1.045760 ,128 
quic,59136,1.036109 ,128 
quic,78464,1.039575 ,128 
quic,40192,1.054610 ,128 
quic,56960,1.021383 ,128 
quic,55808,1.038079 ,128 
quic,70784,1.037436 ,128 
quic,62208,1.023275 ,128 
quic,52608,1.055707 ,128 
quic,38208,1.013567 ,192 
quic,36480,1.005840 ,192 
quic,50112,1.060184 ,192 
quic,46848,1.021773 ,192 
quic,74496,1.019745 ,192 
quic,61440,1.017879 ,192 
quic,46464,1.059476 ,192 
quic,44736,1.027966 ,192 
quic,54720,1.031745 ,192 
quic,66048,1.002368 ,192 
quic,46592,1.031074 ,256 
quic,43008,1.073755 ,256 
quic,45312,1.026244 ,256 
quic,68352,1.026089 ,256 
quic,60928,1.021089 ,256 
quic,55296,1.057298 ,256 
quic,77056,1.058044 ,256 
quic,64768,1.027905 ,256 
quic,43008,1.007365 ,256 
quic,59648,1.163597 ,256 
quic,59520,1.023353 ,320 
quic,48000,1.010208 ,320 
quic,57280,1.017226 ,320 
quic,45760,1.055990 ,320 
quic,43840,1.002205 ,320 
quic,49280,1.045755 ,320 
quic,74880,1.045425 ,320 
quic,48000,1.020804 ,320 
quic,48960,1.050467 ,320 
quic,55040,1.016164 ,320 
quic,66048,1.047305 ,384 
quic,64512,1.062305 ,384 
quic,45696,1.004375 ,384 
quic,47616,1.067800 ,384 
quic,77952,1.029908 ,384 
quic,60672,1.042852 ,384 
quic,52224,1.054923 ,384 
quic,71424,1.044366 ,384 
quic,62976,1.028042 ,384 
quic,49536,1.011208 ,384 
quic,51968,1.039461 ,448 
quic,47488,1.022873 ,448 
quic,44352,1.033341 ,448 
quic,41664,1.030836 ,448 
quic,53760,1.068007 ,448 
quic,49280,1.039000 ,448 
quic,62272,1.012470 ,448 
quic,52416,1.030867 ,448 
quic,40320,1.070206 ,448 
quic,70336,1.047654 ,448 
quic,42496,1.010396 ,512 
quic,56320,1.049757 ,512 
quic,73216,1.019433 ,512 
quic,65536,1.033557 ,512 
quic,71680,1.001483 ,512 
quic,60928,1.015578 ,512 
quic,54784,1.066704 ,512 
quic,44544,1.004001 ,512 
quic,62464,1.009197 ,512 
quic,47104,1.002929 ,512 
quic,36864,1.025468 ,576 
quic,58176,1.040733 ,576 
quic,61632,1.023714 ,576 
quic,77760,1.031722 ,576 
quic,89280,1.050210 ,576 
quic,36864,1.004857 ,576 
quic,65664,1.000370 ,576 
quic,85824,1.031113 ,576 
quic,39744,1.072195 ,576 
quic,55296,1.037009 ,576 
quic,74880,1.020725 ,640 
quic,66560,1.026455 ,640 
quic,50560,1.063631 ,640 
quic,85120,1.011428 ,640 
