Protocol,Bytes,Time,Size
tcp,105408,1.123106 ,64 
tcp,48704,1.039240 ,64 
tcp,74176,1.018523 ,64 
tcp,87296,1.097388 ,64 
tcp,83904,1.000076 ,64 
tcp,87808,1.024326 ,64 
tcp,78784,1.026586 ,64 
tcp,83648,1.000042 ,64 
tcp,94784,1.005258 ,64 
tcp,88192,1.098715 ,64 
tcp,117632,1.020031 ,128 
tcp,90880,1.010336 ,128 
tcp,104448,1.043415 ,128 
tcp,97664,1.020764 ,128 
tcp,120448,1.053910 ,128 
tcp,119552,1.000014 ,128 
tcp,98816,1.000160 ,128 
tcp,78720,1.000005 ,128 
tcp,114176,1.000246 ,128 
tcp,90112,1.021362 ,128 
tcp,109824,1.066492 ,192 
tcp,102528,1.030681 ,192 
tcp,117312,1.115848 ,192 
tcp,118464,1.026837 ,192 
tcp,119424,1.000979 ,192 
tcp,102720,1.054514 ,192 
tcp,98880,1.100484 ,192 
tcp,117120,1.036304 ,192 
tcp,114816,1.012709 ,192 
tcp,111168,1.027999 ,192 
tcp,94976,1.053620 ,256 
tcp,143360,1.052268 ,256 
tcp,105472,1.003843 ,256 
tcp,107776,1.032043 ,256 
tcp,103936,1.104174 ,256 
tcp,115456,1.005976 ,256 
tcp,75008,1.178138 ,256 
tcp,71168,1.117237 ,256 
tcp,51712,1.117206 ,256 
tcp,96256,1.198428 ,256 
tcp,134080,1.027604 ,320 
tcp,90880,1.069865 ,320 
tcp,127360,1.005177 ,320 
tcp,120960,1.080549 ,320 
tcp,129920,1.090934 ,320 
tcp,124800,1.000651 ,320 
tcp,102400,1.020810 ,320 
tcp,127360,1.090478 ,320 
tcp,106560,1.084219 ,320 
tcp,101440,1.122697 ,320 
tcp,156672,1.031546 ,384 
tcp,116352,1.038495 ,384 
tcp,126720,1.151967 ,384 
tcp,130944,1.065271 ,384 
tcp,139776,1.088660 ,384 
tcp,132096,1.038535 ,384 
tcp,89856,1.004013 ,384 
tcp,125568,1.037826 ,384 
tcp,109440,1.000422 ,384 
tcp,121344,1.061281 ,384 
tcp,121408,1.097983 ,448 
tcp,141568,1.133381 ,448 
tcp,108416,1.049646 ,448 
tcp,122752,1.109412 ,448 
tcp,113792,1.005717 ,448 
tcp,109312,1.010788 ,448 
tcp,94976,1.254239 ,448 
tcp,151424,1.000325 ,448 
tcp,133056,1.075607 ,448 
tcp,120512,1.037452 ,448 
tcp,115712,1.038104 ,512 
tcp,136192,1.027545 ,512 
tcp,107520,1.000340 ,512 
tcp,112640,1.001094 ,512 
tcp,109056,1.002033 ,512 
tcp,110592,1.009669 ,512 
tcp,118272,1.087589 ,512 
tcp,152576,1.206826 ,512 
tcp,137216,1.010818 ,512 
tcp,106496,1.018612 ,512 
tcp,123264,1.096033 ,576 
tcp,108864,1.057037 ,576 
tcp,138240,1.097426 ,576 
tcp,146880,1.011272 ,576 
tcp,131328,1.083704 ,576 
tcp,119808,1.115294 ,576 
tcp,131328,1.037102 ,576 
tcp,133056,1.192494 ,576 
tcp,139968,1.010306 ,576 
tcp,131904,1.101160 ,576 
tcp,135040,1.000658 ,640 
tcp,118400,1.001767 ,640 
tcp,119040,1.046616 ,640 
tcp,126720,1.119199 ,640 
tcp,114560,1.032375 ,640 
tcp,108160,1.028823 ,640 
tcp,119680,1.048838 ,640 
tcp,132480,1.005044 ,640 
tcp,113280,1.136608 ,640 
tcp,145920,1.129551 ,640 
tcp,134464,1.083317 ,704 
tcp,140800,1.006808 ,704 
tcp,130240,1.035275 ,704 
tcp,115456,1.050199 ,704 
tcp,120384,1.053925 ,704 
tcp,118272,1.005330 ,704 
tcp,114752,1.002355 ,704 
tcp,112640,1.064063 ,704 
tcp,131648,1.044520 ,704 
tcp,104192,1.012021 ,704 
tcp,125184,1.013885 ,768 
tcp,112128,1.068738 ,768 
tcp,109824,1.054185 ,768 
tcp,101376,1.003534 ,768 
tcp,118272,1.062058 ,768 
tcp,128256,1.068594 ,768 
tcp,126720,1.093692 ,768 
tcp,128256,1.038787 ,768 
tcp,138240,1.091967 ,768 
tcp,105984,1.090121 ,768 
tcp,161408,1.138280 ,832 
tcp,113152,1.034750 ,832 
tcp,132288,1.051670 ,832 
tcp,133952,1.192070 ,832 
tcp,139776,1.005481 ,832 
tcp,113152,1.051969 ,832 
tcp,114816,1.003073 ,832 
tcp,132288,1.197861 ,832 
tcp,114816,1.037269 ,832 
tcp,135616,1.032829 ,832 
tcp,107520,1.004620 ,896 
tcp,93184,1.203728 ,896 
tcp,122752,1.002685 ,896 
tcp,130816,1.104492 ,896 
tcp,124544,1.235973 ,896 
tcp,131712,1.106530 ,896 
tcp,117376,1.036090 ,896 
tcp,116480,1.053960 ,896 
tcp,135296,1.002072 ,896 
tcp,112896,1.151820 ,896 
tcp,138240,1.005407 ,960 
tcp,119040,1.028581 ,960 
tcp,144000,1.099493 ,960 
tcp,126720,1.080761 ,960 
tcp,127680,1.054516 ,960 
tcp,120960,1.025710 ,960 
tcp,126720,1.000477 ,960 
tcp,125760,1.063099 ,960 
tcp,124800,1.031435 ,960 
tcp,114240,1.040821 ,960 
tcp,130048,1.096965 ,1024 
tcp,87040,1.004097 ,1024 
tcp,124928,1.033411 ,1024 
tcp,125952,1.029714 ,1024 
tcp,132096,1.036553 ,1024 
