Protocol,Bytes,Time,Size
tcp,4194304,1.001216 ,1024 
tcp,4194304,1.021076 ,1024 
tcp,4306944,1.000604 ,1024 
tcp,4194304,1.151248 ,1024 
tcp,3205120,1.000313 ,1024 
tcp,3894272,1.000395 ,1024 
quic,1297792,1.050382 ,64 
quic,2903424,1.066526 ,64 
quic,5295616,1.001147 ,64 
quic,5349760,1.000350 ,64 
quic,5870784,1.000006 ,64 
quic,5844544,1.000550 ,64 
quic,5866048,1.000223 ,64 
quic,5936960,1.000136 ,64 
quic,5893760,1.000422 ,64 
quic,5682048,1.000139 ,64 
quic,5923328,1.000024 ,128 
quic,6166528,1.000153 ,128 
quic,6155520,1.000487 ,128 
quic,6232576,1.000575 ,128 
quic,6112512,1.000255 ,128 
quic,6378496,1.000179 ,128 
quic,6405248,1.000439 ,128 
quic,6312960,1.000094 ,128 
quic,6545792,1.000856 ,128 
quic,6464256,1.000145 ,128 
quic,6507072,1.000332 ,192 
quic,6523968,1.000422 ,192 
quic,6316416,1.000379 ,192 
quic,6669312,1.000341 ,192 
quic,6267072,1.001013 ,192 
quic,6750336,1.000033 ,192 
quic,6413568,1.000553 ,192 
quic,6935808,1.000400 ,192 
quic,6854400,1.000805 ,192 
quic,6998784,1.000140 ,192 
quic,6934016,1.001310 ,256 
quic,7061248,1.000394 ,256 
quic,7154432,1.000972 ,256 
quic,7113728,1.000310 ,256 
quic,7116288,1.000157 ,256 
quic,7301632,1.000272 ,256 
quic,7216128,1.000580 ,256 
quic,7407104,1.000028 ,256 
quic,7365632,1.000662 ,256 
quic,7342592,1.000564 ,256 
quic,7555840,1.002365 ,320 
quic,7186240,1.000033 ,320 
quic,7637120,1.000063 ,320 
quic,7501760,1.000924 ,320 
quic,7562880,1.000164 ,320 
quic,5413120,1.001739 ,320 
quic,5651840,1.000025 ,320 
quic,5640960,1.000367 ,320 
quic,5706880,1.000137 ,320 
quic,5843200,1.003964 ,320 
quic,5718528,1.000254 ,384 
quic,5814912,1.000111 ,384 
quic,5789184,1.000007 ,384 
quic,6077952,1.000111 ,384 
quic,6120192,1.001040 ,384 
quic,6076032,1.000714 ,384 
quic,6145920,1.000346 ,384 
quic,6014976,1.000189 ,384 
quic,6279168,1.000335 ,384 
quic,6218496,1.000425 ,384 
quic,6193600,1.000384 ,448 
quic,5953472,1.000956 ,448 
quic,6353536,1.000072 ,448 
quic,6128192,1.003214 ,448 
quic,6590080,1.000139 ,448 
quic,6580672,1.000441 ,448 
quic,6464192,1.001151 ,448 
quic,6803776,1.000224 ,448 
quic,6724928,1.000651 ,448 
quic,6474048,1.000228 ,448 
quic,6821376,1.000256 ,512 
quic,6789120,1.000294 ,512 
quic,6968320,1.000245 ,512 
quic,6969856,1.000141 ,512 
quic,6808576,1.000025 ,512 
quic,6856704,1.000235 ,512 
quic,6959104,1.000357 ,512 
quic,6999040,1.000481 ,512 
quic,7223808,1.000058 ,512 
quic,7064576,1.000167 ,512 
quic,7257024,1.000431 ,576 
quic,7411392,1.000338 ,576 
quic,7390656,1.000558 ,576 
quic,7386624,1.000472 ,576 
quic,7508736,1.000455 ,576 
quic,7426368,1.000287 ,576 
quic,7535808,1.000204 ,576 
quic,7479936,1.000268 ,576 
quic,7380288,1.000397 ,576 
quic,7349760,1.001688 ,576 
quic,7676160,1.005580 ,640 
quic,7777280,1.000483 ,640 
quic,7868800,1.000844 ,640 
quic,7639040,1.000109 ,640 
quic,7866240,1.000245 ,640 
quic,7964160,1.000110 ,640 
quic,7880320,1.000390 ,640 
quic,7711360,1.005470 ,640 
quic,8013440,1.000800 ,640 
quic,8089600,1.000102 ,640 
quic,8156544,1.000108 ,704 
quic,7957312,1.001732 ,704 
quic,8194560,1.000441 ,704 
quic,8129792,1.000812 ,704 
quic,8122752,1.000501 ,704 
quic,8280448,1.001489 ,704 
quic,8300160,1.000354 ,704 
quic,7820736,1.000435 ,704 
quic,8168512,1.001041 ,704 
quic,8310720,1.000384 ,704 
quic,6970368,1.001061 ,768 
quic,7481856,1.000281 ,768 
quic,7256832,1.000490 ,768 
quic,7085568,1.000032 ,768 
quic,6776832,1.000151 ,768 
quic,7572480,1.001180 ,768 
quic,8045568,1.000712 ,768 
quic,7627008,1.000520 ,768 
quic,2474496,1.001292 ,768 
quic,9204480,1.000292 ,768 
quic,7664384,1.000016 ,832 
quic,5658432,1.001014 ,832 
quic,5747456,1.000992 ,832 
quic,5773248,1.000275 ,832 
quic,5829824,1.000394 ,832 
quic,5847296,1.000024 ,832 
quic,4681664,1.059939 ,832 
quic,2958592,1.000551 ,832 
quic,5440448,1.000038 ,832 
quic,5927168,1.000565 ,832 
quic,6115200,1.000280 ,896 
quic,6251392,1.000096 ,896 
quic,6274688,1.001265 ,896 
quic,6272896,1.005179 ,896 
quic,6282752,1.000565 ,896 
quic,6303360,1.000085 ,896 
quic,6333824,1.000249 ,896 
quic,6400128,1.000024 ,896 
quic,6472704,1.000303 ,896 
quic,6537216,1.000344 ,896 
quic,6469440,1.000181 ,960 
quic,6521280,1.000312 ,960 
quic,6719040,1.000030 ,960 
quic,5408640,1.000423 ,960 
quic,4923840,1.000031 ,960 
quic,4633920,1.000402 ,960 
quic,5072640,1.001342 ,960 
quic,5040000,1.000436 ,960 
quic,4875840,1.000343 ,960 
quic,5190720,1.000661 ,960 
quic,4936704,1.000242 ,1024 
quic,5271552,1.000037 ,1024 
quic,5504000,1.000272 ,1024 
quic,5277696,1.000524 ,1024 
quic,5495808,1.000138 ,1024 
quic,5596160,1.001149 ,1024 
quic,5621760,1.000927 ,1024 
quic,5709824,1.000265 ,1024 
quic,5803008,1.000309 ,1024 
quic,5758976,1.000014 ,1024 
